# index, name, _pos
372,C15C8.2,"array([-1.78048476,  8.48450433])"
373,C25A1.11,"array([-2.48076814,  8.65395451])"
374,C15F1.7,"array([37.51985417, 23.93218275])"
375,F10E9.6,"array([37.77687405, 24.55899032])"
376,C15H11.6,"array([24.68397859, -2.38739168])"
377,Y71F9AM.5,"array([25.88593459, -3.5074238 ])"
378,C15H11.7,"array([ 4.16478434, 14.62757012])"
379,ZK945.2,"array([ 3.78630138, 15.2031208 ])"
380,C15H9.2,"array([27.02439998, 31.68693157])"
381,Y55F3AM.14,"array([27.63060245, 31.38353913])"
382,C15H9.7,"array([ 13.61478113, -17.0225801 ])"
383,C54D10.3,"array([ 13.23661876, -16.46893827])"
384,C16A11.5,"array([21.07211637, -1.45957126])"
385,C16A3.10,"array([ 21.57029488, -23.15371284])"
386,K04F10.2,"array([ 20.98026624, -22.76115302])"
387,C16B8.3,"array([22.52574653,  3.21066872])"
388,C17D12.2,"array([21.18400633,  2.88449593])"
389,C24H11.3,"array([23.68118621,  4.3617641 ])"
390,W01A11.4,"array([22.15341043,  2.0969329 ])"
391,Y80D3A.3,"array([21.3936638 ,  4.10761027])"
392,ZK1067.6,"array([23.68655479,  2.19161366])"
393,C16C10.3,"array([15.1659602 , 24.76948322])"
394,F43G9.5,"array([15.73729151, 24.39889909])"
395,C16C10.6,"array([10.82493645,  7.42768715])"
396,C16C8.11,"array([36.69360432,  2.06597273])"
397,H20J04.5,"array([38.02704291,  2.00595944])"
398,C16C8.4,"array([17.86734787, 11.3338439 ])"
399,Y47G6A.14,"array([17.9178515 ,  9.79556897])"
400,C16C8.5,"array([24.5862258 , -4.63079652])"
401,C16C8.9,"array([30.04328412,  7.8791441 ])"
402,C17C3.8,"array([23.51364443,  2.8898977 ])"
403,Y49E10.14,"array([21.52793043,  3.2232142 ])"
404,K02B9.2,"array([20.69043387,  3.98587254])"
405,T19E7.3,"array([19.78692145,  3.50030422])"
406,W10C8.2,"array([24.58186403,  4.88749938])"
407,C17D12.7,"array([23.8481087 , -0.88357892])"
408,K04G2.8,"array([22.67943008, -4.52400597])"
409,Y41E3.7,"array([21.44727077, -5.63769064])"
410,C17G1.7,"array([42.8884777 , 10.79459541])"
411,Y57A10A.24,"array([43.36542961, 10.31056726])"
412,C17G10.5,"array([27.70110336,  8.29769575])"
413,C18B2.5,"array([25.97996725,  9.36167086])"
414,C17H12.1,"array([14.79485906, 27.70644706])"
