# index, _pos
449,"array([-4.52614518, -4.84557169])"
450,"array([-5.39832476, -4.12125055])"
451,"array([-6.00872186, -3.89328792])"
452,"array([-7.00295699, -5.06030391])"
453,"array([-6.15157156, -5.40859078])"
454,"array([-3.94791012, -3.27172292])"
455,"array([-5.67408633, -2.35030442])"
456,"array([-5.01690431, -2.18362649])"
457,"array([-3.86757037, -1.32908823])"
458,"array([-3.71151924, -0.57026204])"
459,"array([-3.68617701, -2.70356897])"
460,"array([-4.80257594, -4.33950657])"
461,"array([-6.48142026, -4.84839622])"
462,"array([-2.86135814, -1.50821994])"
463,"array([-5.4171445, -2.9618643])"
464,"array([-2.87074034, -3.27120705])"
465,"array([-3.12534419, -2.64399929])"
466,"array([-4.31856677, -2.88813189])"
467,"array([-7.80692902, -1.14813487])"
468,"array([-7.14455963,  0.6374379 ])"
469,"array([-8.31294553, -1.43700654])"
470,"array([-7.26804599, -0.06622702])"
471,"array([-4.93097568, -3.32118139])"
472,"array([-3.22304427, -0.25941331])"
473,"array([-2.43860871, -1.10832833])"
474,"array([-2.32484444, -1.7032426 ])"
475,"array([-2.39503984, -2.25566762])"
476,"array([-3.55236202, -2.14461142])"
477,"array([-3.35408845, -3.73074326])"
478,"array([-4.28896996, -1.81564521])"
479,"array([-3.91912171, -3.84556245])"
480,"array([-2.94584746, -2.10481287])"
481,"array([-3.38918728, -1.62098089])"
482,"array([-4.44115134, -3.5658733 ])"
483,"array([-6.59817457, -4.22451984])"
484,"array([-2.58279533, -2.77772125])"
485,"array([-4.1178708 , -2.32241678])"
486,"array([-2.74392504, -0.62729067])"
487,"array([-3.42283433, -3.19067943])"
488,"array([-3.23050706, -1.00597961])"
489,"array([-26.69517933,  22.705373  ])"
490,"array([-11.81429272,  -0.71871432])"
491,"array([-27.06896636,  24.08539216])"
492,"array([-12.90823061,   0.53381855])"
493,"array([-27.1593323 ,  24.83108847])"
494,"array([-5.2604193 ,  3.10462622])"
495,"array([-5.42527953,  1.85061973])"
496,"array([-7.21481626,  2.12960828])"
497,"array([-7.52658997,  2.95138435])"
498,"array([-4.79266065,  3.2217906 ])"
499,"array([-4.67782869,  1.49736408])"
500,"array([-4.74281347,  2.31221851])"
501,"array([-4.27569717,  2.93131185])"
502,"array([-5.15873256,  3.57672303])"
503,"array([-6.16832104,  2.30283191])"
504,"array([-5.65092032,  2.92186676])"
505,"array([-5.03942665,  2.72365035])"
506,"array([-4.24323257,  2.42769863])"
507,"array([-4.98054098,  4.05283016])"
508,"array([ -8.46405946, -17.0021996 ])"
509,"array([-5.63093675,  2.43496634])"
510,"array([-4.95428364,  1.85369619])"
511,"array([-4.37663375,  3.39768516])"
512,"array([-4.65139239,  3.75086013])"
513,"array([-5.13850433,  1.33999488])"
514,"array([-5.69388027,  3.59139646])"
515,"array([-5.62182575,  1.40288338])"
516,"array([-5.20970942,  2.28848619])"
517,"array([ 8.84580697, -8.51474508])"
518,"array([-4.60504445,  2.67096112])"
519,"array([-6.05272799,  3.2171621 ])"
520,"array([-5.46048305,  3.99429451])"
521,"array([-4.43797687,  1.91004838])"
522,"array([-3.63137275,  3.01033583])"
523,"array([-5.98180532,  1.80924604])"
524,"array([-7.37774694,  1.72056436])"
525,"array([-6.27254355,  1.32046148])"
526,"array([-6.37880951,  2.68228011])"
527,"array([  0.20647782, -13.34944156])"
528,"array([-7.86189437,  6.7510492 ])"
529,"array([10.67125426,  4.3718589 ])"
530,"array([-7.01017745,  3.79576325])"
531,"array([-7.29141799,  3.46249105])"
532,"array([-7.1122549,  4.2617606])"
533,"array([-10.18375717,   4.56472559])"
534,"array([-27.32534779,  22.20064852])"
535,"array([-28.85597796,  23.13427411])"
536,"array([-7.50381804,  5.79444403])"
537,"array([-7.11811393,  5.30133234])"
